Country,kisi sayisi
CHINA,4092765
UNITED STATES,3163692
PHILIPPINES,2282112
UNITED KINGDOM,1248656
BRAZIL,1056237
RUSSIA,1007469
ITALY,796768
MEXICO,745374
INDIA,503275
FRANCE,497885
INDONESIA,405004
UKRAINE,326689
SPAIN,312043
CANADA,309903
GERMANY,289355
MALAYSIA,271741
SOUTH KOREA,269249
AUSTRALIA,252000
KAZAKHSTAN,235147
PERU,209425
COLOMBIA,193484
POLAND,192391
TURKEY,181828
ARGENTINA,175390
CHILE,162748
ECUADOR,110086
CZECHIA,109164
VIETNAM,105088
IRAN,92564
IRELAND,91390
TAIWAN,87496
BELARUS,84880
PORTUGAL,83713
SWEDEN,83007
ROMANIA,76667
HONG KONG SAR CHINA,72251
BELGIUM,70965
THAILAND,70883
ARMENIA,61958
GREECE,59093
NETHERLANDS,58275
BANGLADESH,57878
AFGHANISTAN,56036
SOUTH AFRICA,55915
EGYPT,54575
HUNGARY,51371
ALBANIA,47603
UZBEKISTAN,47189
COSTA RICA,46903
ALGERIA,46656
SAUDI ARABIA,46654
AUSTRIA,45935
UNITED ARAB EMIRATES,42930
SWITZERLAND,40415
NEW ZEALAND,40191
JAPAN,39287
BOLIVIA,37962
SLOVAKIA,37539
ISRAEL,37123
AZERBAIJAN,36270
GUATEMALA,35332
SINGAPORE,34306
SERBIA,33851
VENEZUELA,33709
CROATIA,31697
AMERICAN SAMOA,30030
NORWAY,29237
MOROCCO,29028
KYRGYZSTAN,28910
DENMARK,28327
IRAQ,26090
ANDORRA,25053
BULGARIA,24958
PAKISTAN,23040
MOLDOVA,22737
EL SALVADOR,22192
FINLAND,22104
PANAMA,20975
LITHUANIA,20718
GEORGIA,20624
HONDURAS,20379
PUERTO RICO,20208
BOSNIA & HERZEGOVINA,19813
LEBANON,19710
LATVIA,18285
DOMINICAN REPUBLIC,17405
JORDAN,16310
NEPAL,15743
SRI LANKA,15488
URUGUAY,14984
PARAGUAY,14969
ANGOLA,14910
TUNISIA,14219
ESTONIA,12519
TRINIDAD & TOBAGO,11801
ANTARCTICA,10022
NICARAGUA,9758
ANGUILLA,9694
SLOVENIA,9564
MYANMAR (BURMA),9141
KUWAIT,8917
CYPRUS,8187
NORTH MACEDONIA,8126
BAHRAIN,8014
ARUBA,7487
NORTH KOREA,7472
BAHAMAS,7419
KOSOVO,7408
CANARY ISLANDS,7185
SYRIA,6861
QATAR,6610
ASCENSION ISLAND,6433
MACAO SAR CHINA,6324
ANTIGUA & BARBUDA,5965
MALDIVES,5831
MALTA,5331
NIGERIA,5301
CAMBODIA,5138
OMAN,5057
PALESTINIAN TERRITORIES,4713
BRUNEI,4647
GUYANA,4441
KENYA,4378
MONTENEGRO,4377
MAURITIUS,3411
LUXEMBOURG,3340
ZIMBABWE,3198
CUBA,3148
CHRISTMAS ISLAND,3080
RÉUNION,3071
ICELAND,3005
BELIZE,2944
MONGOLIA,2903
YEMEN,2820
LIBYA,2714
JAMAICA,2530
TAJIKISTAN,2509
SUDAN,2509
BRITISH VIRGIN ISLANDS,2502
GHANA,2408
ETHIOPIA,2024
TURKMENISTAN,2015
BHUTAN,1992
BARBADOS,1975
TANZANIA,1847
BERMUDA,1666
GUAM,1653
FIJI,1531
BRITISH INDIAN OCEAN TERRITORY,1476
FRENCH POLYNESIA,1473
BOTSWANA,1453
JERSEY,1407
MADAGASCAR,1384
CHAD,1345
ISLE OF MAN,1292
BENIN,1179
ZAMBIA,1170
NIGER,1169
SURINAME,1122
CAMEROON,1102
CARIBBEAN NETHERLANDS,1099
UGANDA,1087
GUADELOUPE,1073
CEUTA & MELILLA,1073
CAPE VERDE,1072
CAYMAN ISLANDS,1043
CÔTE D’IVOIRE,1027
MONACO,1010
FRENCH GUIANA,993
BURUNDI,915
GIBRALTAR,885
DOMINICA,863
CENTRAL AFRICAN REPUBLIC,848
GUERNSEY,844
MARTINIQUE,843
FRENCH SOUTHERN TERRITORIES,835
NEW CALEDONIA,818
BURKINA FASO,798
SENEGAL,745
U.S. VIRGIN ISLANDS,728
CURAÇAO,725
MOZAMBIQUE,723
LAOS,718
NAMIBIA,694
NORTHERN MARIANA ISLANDS,682
COCOS (KEELING) ISLANDS,654
GREENLAND,608
VATICAN CITY,598
CONGO - KINSHASA,590
SOMALIA,574
HAITI,556
RWANDA,507
COMOROS,482
COOK ISLANDS,482
CONGO - BRAZZAVILLE,461
MALI,454
SOUTH SUDAN,446
MARSHALL ISLANDS,444
MALAWI,435
SAN MARINO,430
GABON,430
EQUATORIAL GUINEA,429
GRENADA,423
PITCAIRN ISLANDS,416
ERITREA,396
DJIBOUTI,392
FAROE ISLANDS,373
MAURITANIA,364
ESWATINI,358
SAMOA,356
DIEGO GARCIA,355
MAYOTTE,353
LIECHTENSTEIN,348
U.S. OUTLYING ISLANDS,337
TURKS & CAICOS ISLANDS,333
WALLIS & FUTUNA,321
PAPUA NEW GUINEA,319
TOGO,316
VANUATU,302
MICRONESIA,295
SINT MAARTEN,293
GUINEA,289
ST. MARTIN,276
GAMBIA,276
PALAU,272
LIBERIA,269
ST. LUCIA,258
FALKLAND ISLANDS,257
WESTERN SAHARA,251
SEYCHELLES,212
SOUTH GEORGIA & SOUTH SANDWICH ISLANDS,189
MONTSERRAT,187
SIERRA LEONE,186
TIMOR-LESTE,182
ÅLAND ISLANDS,166
ST. VINCENT & GRENADINES,162
TONGA,156
LESOTHO,153
ST. KITTS & NEVIS,153
SÃO TOMÉ & PRÍNCIPE,149
GUINEA-BISSAU,139
ST. PIERRE & MIQUELON,136
NORFOLK ISLAND,135
KIRIBATI,132
TUVALU,131
SOLOMON ISLANDS,124
ST. HELENA,122
SVALBARD & JAN MAYEN,112
NAURU,111
NIUE,110
TOKELAU,106
ST. BARTHÉLEMY,104
TRISTAN DA CUNHA,84
PSEUDO-BIDI,1
